Fiscal Year,Total Principal,Total Earnings Reserve,Total Fund Value
1978,54.5,0,54.5
1979,137.9,0,137.9
1980,493.8,0,493.8
1981,1788.1,58.7,1846.8
1982,3037.5,243.8,3281.3
1983,4075.6,353.8,4429.4
1984,4487.4,557.3,5044.7
1985,5990.9,763.3,6754.2
1986,7217.7,1264.4,8482.1
1987,8396.3,529.4,8925.7
1988,8898,591.3,9489.3
1989,9936.5,635.4,10572
1990,10882.9,604.7,11487.6
1991,11875.3,581.5,12456.8
1992,14110.2,645.2,14755.4
1993,14499,965.4,15464.5
1994,14106.7,1116.6,15223.3
1995,15378.8,1202.6,16581.4
1996,18289.6,103.4,18393.1
1997,20996.6,107.1,21103.6
1998,22487.4,1388.9,23876.3
1999,22541.7,2590.4,25132.2
2000,23543.4,2972.5,26516
2001,22431.2,2383.8,24815
2002,22389.4,1135.8,23525.2
2003,24094.3,100,24194.3
2004,26541.2,858.6,27399.8
2005,28521.8,1439.8,29961.6
2006,30325,2584.7,32909.7
2007,33694.5,4131.6,37826.1
2008,31213.3,5320.7,36533.9
2009,29496.1,420,29916.1
2010,32045,1209.8,33254.9
2011,37832.4,2307.8,40140.3
2012,38252.5,2080.6,40333.1
2013,40909.4,3944,44853.4
2014,45002.4,6211.3,51213.8
2015,45638.1,7162.4,52800.5
2016,44199.7,8570,52769.7
2017,46969.6,12815.5,59785.1
2018,46030,18864.6,64894.6
