,divYear,pop,appsReceived,appsPaid,divAmount,percentChange,totalDisbursed,year,sni,sniAmount,rollingSni,rollingSniSum,rollingStd,divRough,divRough1,fiscalYear,principal,er,fundValue,fundValueStd,pomv,disburseDiff,valueSniStdDiff,valueSniStdDiffRatio,normalizedvalueStd,normalizedMean
36,1982,464300,487841,470897,1000.0,,470897000.0,1982,368.4,368400000.0,112100000.0,560500000.0,155300933.67394802,56050000.0,58852500.0,1982,3037500000.0,243800000.0,3281300000.0,1385839829.4896853,0.14350927985859263,412044500.0,1230538895.8157372,8.923576933537536,0.04732908715263707,0.034163288940359006
35,1983,499100,469229,458213,386.15,-0.614,176938950.0,1983,471.1,471100000.0,205960000.0,1029800000.0,205633127.19501203,102980000.0,108129000.0,1983,4075600000.0,353800000.0,4429400000.0,1823189500.0246134,0.03994648259357927,68809950.0,1617556372.8296013,8.866224644318097,0.046424600892900174,0.04649839707409582
34,1984,524000,494150,482135,331.29,-0.142,159726504.2,1984,550.4,550400000.0,314440000.0,1572200000.0,217802164.8193608,157220000.0,165081000.0,1984,4487400000.0,557300000.0,5044700000.0,1864951582.4814327,0.03166224041072809,-5354495.800000012,1647149417.662072,8.562594334304128,0.04317445335091498,0.06233076297896802
33,1985,543900,526976,519413,404.0,0.22,209842852.0,1985,636.9,636900000.0,435340000.0,2176700000.0,187817046.61718008,217670000.0,228553500.0,1985,5990900000.0,763300000.0,6754200000.0,1847040594.3021393,0.03106849841580054,-18710648.0,1659223547.6849592,9.834254278669858,0.02780744523662019,0.06445470966213615
32,1986,550700,543858,533315,556.26,0.377,296661801.9,1986,1020.9,1020900000.0,609540000.0,3047700000.0,250388344.37728927,304770000.0,320008500.0,1986,7217700000.0,1264400000.0,8482100000.0,2042896008.8560553,0.034975041782105844,-23346698.100000024,1792507664.478766,8.158910167870218,0.029519617120440607,0.07186192098654814
31,1987,541300,553320,530594,708.19,0.273,375761364.9,1987,1068.5,1068500000.0,749560000.0,3747800000.0,276244942.03514385,374780000.0,393519000.0,1987,8396299999.999999,529400000.0,8925700000.0,2001530436.191266,0.04209881184668989,-17757635.100000024,1725285494.1561222,7.245491705461277,0.030949386830740878,0.08397772723707944
30,1988,535000,537279,519724,826.93,0.168,429775367.3,1988,789.2,789200000.0,813180000.0,4065900000.0,228603864.79672647,406590000.0,426919500.0,1988,8898000000.0,591300000.0,9489300000.0,1820239539.181588,0.04529052377941471,2855867.300000012,1591635674.3848615,7.962418049231744,0.024090698449488,0.0856944137080712
29,1989,538900,526511,508710,873.16,0.055999999999999994,444185223.6,1989,868.5,868500000.0,876800000.0,4384000000.0,175220118.70786986,438400000.0,460320000.0,1989,9936500000.0,635400000.0,10572000000.0,1405996483.9927588,0.04201525005675369,-16134776.399999976,1230776365.284889,8.024172648443765,0.016573980203165896,0.08293605751040484
28,1990,553171,533876,498447,952.63,0.091,474835565.6,1990,915.9,915900000.0,932600000.0,4663000000.0,113155821.76803808,466300000.0,489615000.0,1990,10882900000.0,604700000.0,11487600000.0,1228962791.5441542,0.04133461868449459,-14779434.399999976,1115806969.7761161,10.860800375463194,0.009850257823047293,0.08118318882969462
27,1991,569054,535475,512764,931.34,-0.022000000000000002,477557623.8,1991,1030.5,1030500000.0,934520000.0,4672600000.0,115093492.43115355,467260000.0,490623000.0,1991,11875300000.0,581500000.0,12456800000.0,1438081863.8033094,0.038337102931732064,-13065376.199999988,1322988371.372156,12.494901609346323,0.0092394107982109,0.07502087213409543
26,1992,586722,544017,523099,915.84,-0.017,479074988.2,1992,1047.9,1047900000.0000001,930400000.0,4652000000.0,109322413.07252602,465200000.0,488460000.0,1992,14110200000.0,645200000.0,14755400000.0,2006194968.591039,0.03246777370996381,-9385011.800000012,1896872555.518513,18.35117714845995,0.007408976582981554,0.06305488160266749
25,1993,596906,550705,528399,949.46,0.037000000000000005,501693714.5,1993,1205.0,1205000000.0,1013560000.0,5067800000.0,131048990.83930409,506780000.0,532119000.0,1993,14499000000.0,965400000.0,15464500000.0,2098742830.362977,0.03244163823595978,-30425285.5,1967693839.523673,16.014948432044882,0.008474182213411625,0.06554107795273045
24,1994,600622,559840,535178,983.9,0.036000000000000004,526561634.2,1994,1094.3,1094300000.0,1058720000.0,5293600000.0,104850808.2944524,529360000.0,555828000.0,1994,14106700000.0,1116600000.0,15223300000.0,1790981961.6623726,0.034589191187193315,-29266365.800000012,1686131153.3679202,17.08124134468053,0.0068875216473729345,0.06954602484349648
23,1995,601581,564702,542397,990.3,0.006999999999999999,537135749.1,1995,1007.8,1007800000.0,1077100000.0,5385500000.0,78231930.82111682,538550000.0,565477500.0,1995,15378800000.0,1202600000.0,16581400000.000002,1519897637.013756,0.03239387199512707,-28341750.899999976,1441665706.192639,19.428098233816012,0.004718053410515204,0.06495832679990832
22,1996,605212,566061,546651,1130.68,0.142,618087352.7,1996,1769.1,1769100000.0,1224820000.0,6124100000.0,313076423.5773751,612410000.0,643030500.0,1996,18289600000.0,103400000.0,18393100000.0,1455086871.2898207,0.033604305565674085,-24943147.299999952,1142010447.7124455,4.647705038479859,0.017021406047777434,0.06659127607635472
21,1997,609655,575270,555289,1296.54,0.147,719954400.1,1997,2036.0,2036000000.0,1422440000.0,7112200000.0,453737636.74617076,711220000.0,746781000.0,1997,20996600000.0,107100000.0,21103600000.0,2441630045.0723486,0.03411524100627381,-26826599.899999976,1987892408.3261778,5.381149473474782,0.021500485071086012,0.06740271801967437
